campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Acquisition","SMB","SEA|Email",45,5,15000,4000,800,"Leads","Landing;Form","CPL;Conversions","Campagne produit","Long sales cycle",10,25000
"Retention","B2C","Email|Social",60,3,2000,1000,300,"Rétention","Newsletters;Offers","Open Rate;Churn","CRM update","Taux de désabonnement",7,8000
"Launch","B2B","Events|LinkedIn",90,6,12000,15000,2000,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",10,45000
"Branding","GenZ","Social|Influencer",40,4,10000,3000,600,"Notoriété","Contenu UGC;Visuels","Engagement;Shares","Aucun","Contenu non conforme",8,18000
"Acquisition","B2C","SEA|Social",35,5,14000,2500,700,"Conversions","Landing;A/B tests","CPA;CTR","SEO","Coût par clic élevé",9,22000
"Awareness","B2B","LinkedIn|Display",50,3,8000,2000,400,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",7,15000
"Retention","SMB","Email|Webinar",25,2,1500,800,200,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",6,6000
"Launch","B2C","Social|Influencer",20,7,18000,5000,1200,"Ventes initiales","Campagne social;Promo","Sales;ROAS","Stock dispo","Rupture stock",12,30000
"Branding","Millennials","Social|PR",55,4,7000,2500,500,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",8,16000
"Acquisition","B2B","LinkedIn|Email",42,5,16000,3000,900,"Leads qualifiés","Landing;Case studies","MQL;SQL","Sales alignment","Long sales cycle",10,27000
"Awareness","B2C","TV|Social",75,8,60000,15000,3000,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",15,90000
"Retention","GenZ","App|Push",30,3,2000,500,200,"Engagement","Push campaigns;Offers","DAU;Retention","App update","Opt-out massifs",6,7000
"Launch","SMB","Email|Events",60,6,12000,9000,1500,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",11,38000
"Branding","B2C","OOH|Social",50,5,9000,4000,700,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",9,20000
"Acquisition","B2C","SEA|Display",28,4,9000,1500,400,"Conversions","Landing;Ads","CPA;CTR","SEO","Concurrence CPC",8,14000
"Awareness","B2B","PR|LinkedIn",33,3,3000,1200,300,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",6,9000
"Retention","SMB","Email|CRM",90,2,1000,500,150,"Fidélité","Programmes;Emails","Churn;Repeat rate","Billing","Données incomplètes",5,5000
"Launch","B2C","Social|SEA",21,6,16000,3000,800,"Ventes","Promo;Landing","Sales;CPA","Stock","Retour produit élevé",12,26000
"Branding","B2B","Events|PR",120,7,20000,18000,2500,"Image entreprise","Event;Brochure","Leads;Coverage","Board approval","Budget refusé",14,60000
"Acquisition","GenZ","Social|Influencer",27,4,8000,1200,300,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",9,13000
"Awareness","B2C","Display|Video",40,3,6000,1000,250,"Notoriété","Bannières;Vidéo","Impressions;View rate","Création","Vidéo non validée",7,11000
"Retention","Millennials","Email|Social",35,3,2500,800,200,"Engagement","Offers;Content","Open rate;CTR","CRM","Segmentation faible",6,9000
"Launch","B2B","LinkedIn|Webinar",48,5,10000,8000,1200,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",10,32000
"Branding","SMB","Social|Email",36,4,5000,1500,400,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Mauvaise cible",8,12500
"Acquisition","B2C","SEA|Social",22,6,13000,2000,600,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour élevé",9,21000
"Awareness","B2B","Display|PR",44,3,4000,1200,300,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",7,10000
"Retention","GenZ","App|Social",29,4,3000,700,250,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",6,8500
"Launch","B2C","Influencer|Social",18,5,17000,4000,1000,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",12,28000
"Branding","Millennials","Social|Events",65,6,9000,6000,900,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation event",11,24000
"Acquisition","B2B","LinkedIn|SEA",38,5,18000,3500,1000,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,30000
